month,median,min,max
0,26.439773504012948,13.255119787479414,58.879341921811566
1,41.92810134622735,13.917877819062555,46.18987831960462
2,11.235090204996048,-6.717721247174822,31.258182895880577
3,-5.939527770410204,-11.341325797522662,1.9278317954708848
4,5.099612577054082,2.503133546545755,17.825173610521368
5,4.671900827137458,-7.564885561764198,16.304441651643934
6,-3.892042092451024,-17.027749349650914,13.66281206586999
7,-4.312872485456659,-15.758918560449697,7.99931317883375
8,-8.081152233998214,-11.99004228799478,27.701234840440108
9,-2.5533807344966277,-23.83746652922728,11.679450359123324
10,6.933779890188836,-18.76308486139953,23.566376187648505
11,21.05955894012731,0.7802760292071476,44.76948607089658
