month,median,min,max
0,34.04975706697027,25.61895610034077,61.81971641461534
1,39.04139469025503,23.68749892830156,55.4496654660935
2,9.17000430676438,-1.3078660069214705,17.816132321476
3,-7.819207912689493,-16.766321675482857,3.094050230215792
4,4.885709005107404,-2.5237019887430416,15.466812822902543
5,0.5222694619359465,-1.411137203429683,8.928702399002368
6,2.032568581168707,-18.05911095110641,12.018932684898337
7,0.3216075524566786,-9.677088090089562,14.728367951948526
8,-7.026153120147419,-18.75421726298583,12.350905461483134
9,3.622039932583789,-17.104202921393885,25.937453373606672
10,3.9437702789500895,-4.092060039931942,32.179297234515964
11,28.53108266693417,4.237798349327488,38.77393287738349
