month,low,medium,high
1,31.28570134248352,20.076548695173727,19.437621197270037
2,51.03256791140208,36.805747307070256,49.21684088688298
3,13.386924239809122,10.296311828362589,29.907656670664817
4,-24.280295124312797,-11.765764880424795,-14.592941331876553
5,-17.040060237367058,0.3465980123565131,-2.488852231880205
6,-10.591915616586936,-4.727318065656952,2.9560755991137007
7,-17.208128417560108,8.742655053550775,-4.396748162870156
8,-15.774508586502645,-8.242460215725968,6.585487557761274
9,-21.8261079992798,-7.741303638683399,25.39839171149848
10,2.043324753798116,10.294708102069832,12.696165282260347
11,7.7011527969845295,9.286657962969098,23.57340538116511
12,34.459798209950506,28.751856983061785,35.64961752144281
